,time,close_price
0,2020-03-24 04:00:00,6577.72
1,2020-03-25 04:00:00,6747.55
2,2020-03-26 04:00:00,6821.95
3,2020-03-27 04:00:00,6127.86
4,2020-03-28 04:00:00,6219.79
5,2020-03-29 05:00:00,6011.5
6,2020-03-30 05:00:00,6450.0
7,2020-03-31 05:00:00,6383.69
8,2020-04-01 05:00:00,6623.92
9,2020-04-02 05:00:00,6787.4
10,2020-04-03 05:00:00,6702.98
11,2020-04-04 05:00:00,6802.53
12,2020-04-05 05:00:00,6848.94
13,2020-04-06 05:00:00,7329.68
14,2020-04-07 05:00:00,7355.98
15,2020-04-08 05:00:00,7291.99
16,2020-04-09 05:00:00,7181.24
17,2020-04-10 05:00:00,6922.02
18,2020-04-11 05:00:00,6819.05
19,2020-04-12 05:00:00,6688.22
20,2020-04-13 05:00:00,6903.82
21,2020-04-14 05:00:00,6911.93
22,2020-04-15 05:00:00,6661.49
23,2020-04-16 05:00:00,7095.71
24,2020-04-17 05:00:00,7104.85
25,2020-04-18 05:00:00,7247.14
26,2020-04-19 05:00:00,7180.39
27,2020-04-20 05:00:00,6868.43
28,2020-04-21 05:00:00,6876.85
29,2020-04-22 05:00:00,7126.88
30,2020-04-23 05:00:00,7531.48
31,2020-04-24 05:00:00,7531.4
32,2020-04-25 05:00:00,7575.1
33,2020-04-26 05:00:00,7740.35
34,2020-04-27 05:00:00,7719.16
35,2020-04-28 05:00:00,7828.44
36,2020-04-29 05:00:00,9303.0
37,2020-04-30 05:00:00,8670.0
38,2020-05-01 05:00:00,8838.82
39,2020-05-02 05:00:00,9144.68
40,2020-05-03 05:00:00,8733.73
41,2020-05-04 05:00:00,8866.02
42,2020-05-05 05:00:00,8981.5
43,2020-05-06 05:00:00,9303.28
44,2020-05-07 05:00:00,9944.62
45,2020-05-08 05:00:00,9874.08
46,2020-05-09 05:00:00,8641.42
47,2020-05-10 05:00:00,8705.73
48,2020-05-11 05:00:00,8723.37
49,2020-05-12 05:00:00,8917.17
50,2020-05-13 05:00:00,9359.71
51,2020-05-14 05:00:00,9491.62
52,2020-05-15 05:00:00,9432.45
53,2020-05-16 05:00:00,9543.68
54,2020-05-17 05:00:00,9859.74
55,2020-05-18 05:00:00,9518.31
56,2020-05-19 05:00:00,9722.01
57,2020-05-20 05:00:00,9465.2
58,2020-05-21 05:00:00,8980.03
59,2020-05-22 05:00:00,9287.48
60,2020-05-23 05:00:00,9205.97
61,2020-05-24 05:00:00,8786.3
62,2020-05-25 05:00:00,8898.77
63,2020-05-26 05:00:00,8825.24
64,2020-05-27 05:00:00,9167.35
65,2020-05-28 05:00:00,9515.67
66,2020-05-29 05:00:00,9387.92
67,2020-05-30 05:00:00,9585.16
68,2020-05-31 05:00:00,9548.6
69,2020-06-01 05:00:00,10101.0
70,2020-06-02 05:00:00,9490.86
71,2020-06-03 05:00:00,9673.24
72,2020-06-04 05:00:00,9801.22
73,2020-06-05 05:00:00,9629.73
74,2020-06-06 05:00:00,9686.14
75,2020-06-07 05:00:00,9727.5
76,2020-06-08 05:00:00,9682.47
